"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Zapus hudsonius luteus","New Mexico meadow jumping mouse","Wherever found","2","Endangered","Mammals"
"Icaricia icarioides missionensis","Mission blue butterfly","Wherever found","8","Endangered","Insects"
"Himantopus mexicanus knudseni","Hawaiian stilt","Wherever found","1","Endangered","Birds"
"Anaxyrus williamsi","Dixie Valley Toad","","8","Endangered","Amphibians"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Bison bison athabascae","Wood Bison","Wherever found","7","Threatened","Mammals"
"Etheostoma fonticola","Fountain darter","Wherever found","2","Endangered","Fishes"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Wherever found","4","Endangered","Insects"
"Alligator mississippiensis","American alligator","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Batrisodes texanus","Coffin Cave mold beetle","Wherever found","2","Endangered","Insects"
"Antilocapra americana sonoriensis","Sonoran pronghorn","U.S.A. (AZ), Mexico","2","Experimental Population, Non-Essential","Mammals"
"Achatinella spp.","Oahu tree snails","Wherever found","1","Endangered","Snails"
"Bombus franklini","Franklin's bumble bee","Wherever found","1","Endangered","Insects"
"Pleurobema perovatum","Ovate clubshell","Wherever found","4","Endangered","Clams"
"Syncaris pacifica","California freshwater shrimp","Wherever found","8","Endangered","Crustaceans"
"Fusconaia burkei","Tapered pigtoe","Wherever found","4","Threatened","Clams"
"Fusconaia cuneolus","Finerayed pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Fulica alai","Hawaiian coot (alae ke`oke`o)","Wherever found","1","Endangered","Birds"
"Marstonia pachyta","Armored snail","Wherever found","4","Endangered","Snails"
"Somateria fischeri","Spectacled eider","Wherever found","7","Threatened","Birds"
"Pyrgulopsis chupaderae","Chupadera springsnail","Wherever found","2","Endangered","Snails"
"Taylorconcha serpenticola","Bliss Rapids snail","Wherever found","1","Threatened","Snails"
"Thamnophis eques megalops","Northern Mexican gartersnake","Wherever found","2","Threatened","Reptiles"
"Chelonia mydas","Green sea turtle","South Atlantic DPS","4","Threatened","Reptiles"
"Laterallus jamaicensis jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
"Bison bison athabascae","Wood Bison","Alaska Experimental Population","7","Experimental Population, Non-Essential","Mammals"
"Glaucidium brasilianum cactorum","Cactus ferruginous pygmy-owl","Wherever found","2","Threatened","Birds"
"Acipenser transmontanus","White sturgeon","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","1","Endangered","Fishes"
"Quadrula fragosa","Winged Mapleleaf","U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1))","4","Experimental Population, Non-Essential","Clams"
"Telespiza cantans","Laysan finch","Wherever found","1","Endangered","Birds"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Obovaria choctawensis","Choctaw bean","Wherever found","4","Endangered","Clams"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Mustela nigripes","Black-footed ferret","U.S.A. (parts of CO, UT (Northwestern Colorado/Northeastern Utah Experimental Population Area), see § 17.84(g)(9)(v))","6","Experimental Population, Non-Essential","Mammals"
"Pyrgulopsis trivialis","Three Forks Springsnail","Wherever found","2","Endangered","Snails"
"Fusconaia cor","Shiny pigtoe","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Drosophila musaphilia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Corvus kubaryi","Mariana (=aga) Crow","Wherever found","1","Endangered","Birds"
"Grus americana","Whooping crane","Rocky Mountain NEP - U.S.A. (CO, ID, NM, UT, and the western  half of Wyoming)","2","Experimental Population, Non-Essential","Birds"
"Leptoxis foremani","Interrupted (=Georgia) Rocksnail","Wherever found","4","Endangered","Snails"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Microtus californicus scirpensis","Amargosa vole","Wherever found","8","Endangered","Mammals"
"Scaphirhynchus suttkusi","Alabama sturgeon","Wherever found","4","Endangered","Fishes"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Wherever found","1","Endangered","Mammals"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Notropis oxyrhynchus","Sharpnose Shiner","Wherever found","2","Endangered","Fishes"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Leptotes cassius theonus","Cassius Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Hamiota perovalis","Orangenacre mucket","Wherever found","4","Threatened","Clams"
"Urocitellus brunneus","Northern Idaho Ground Squirrel","Wherever found","1","Threatened","Mammals"
"Ptychobranchus subtentus","Fluted kidneyshell","Wherever found","4","Endangered","Clams"
"Medionidus penicillatus","Gulf moccasinshell","Wherever found","4","Endangered","Clams"
"Lepidomeda albivallis","White River spinedace","Wherever found","8","Endangered","Fishes"
"Pleurobema decisum","Southern clubshell","Wherever found","4","Endangered","Clams"
"Discus macclintocki","Iowa Pleistocene snail","Wherever found","3","Endangered","Snails"
"Catostomus santaanae","Santa Ana sucker","3 CA river basins","8","Threatened","Fishes"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Bombus affinis","Rusty patched bumble bee","Wherever found","3","Endangered","Insects"
"Dipodomys ingens","Giant kangaroo rat","Wherever found","8","Endangered","Mammals"
"Ammospiza maritima mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Partula gibba","Humped tree snail","Wherever found","1","Endangered","Snails"
"Etheostoma wapiti","Boulder darter","Shoal Creek","4","Experimental Population, Non-Essential","Fishes"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Oncorhynchus aguabonita whitei","Little Kern golden trout","Wherever found","8","Threatened","Fishes"
"Hesperia dacotae","Dakota Skipper","Wherever found","3","Threatened","Insects"
"Mustela nigripes","Black-footed ferret","Southwest Experimental Population Area - U.S.A. (parts of AZ, NM, UT) [U.S.A. (parts of AZ, NM, UT (Southwest Experimental Population Area), see § 17.84(g)(9)(iv))]","2","Experimental Population, Non-Essential","Mammals"
"Pleurobema hanleyianum","Georgia pigtoe","Wherever found","4","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Cyprinodon macularius","Desert pupfish","Wherever found","2","Endangered","Fishes"
"Sousa teuszii","Atlantic Humpback Dolphin","","9","Endangered","Mammals"
"Mustela nigripes","Black-footed ferret","U.S.A. (most of WY (Wyoming Experimental Population Area), see § 17.84(g)(9)(viii))","6","Experimental Population, Non-Essential","Mammals"
"Graptemys pulchra","Alabama Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Fusconaia cor","Shiny pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Hylaeus hilaris","Hilaris yellow-faced bee","Wherever found","1","Endangered","Insects"
"Pacifastacus fortis","Shasta crayfish","Wherever found","8","Endangered","Crustaceans"
"Ambystoma macrodactylum croceum","Santa Cruz long-toed salamander","Wherever found","8","Endangered","Amphibians"
"Puffinus newelli","Newell''s shearwater","Wherever found","1","Threatened","Birds"
"Canis lupus","Gray wolf","MN","3","Threatened","Mammals"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Eumeces egregius lividus","blue-tailed mole skink","Wherever found","4","Threatened","Reptiles"
"Canis lupus","Gray wolf","Continental United States (without Mexican Wolf)","6","Endangered","Mammals"
"Cambarus veteranus","Guyandotte River crayfish","Wherever found","5","Endangered","Crustaceans"
"Cyclonaias petrina","Texas pimpleback","Wherever found","2","Endangered","Clams"
"Obovaria subrotunda","Round hickorynut","Wherever found","3","Threatened","Clams"
"Drosophila tarphytrichia","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Wherever found","1","Endangered","Insects"
"Notropis buccula","Smalleye Shiner","Wherever found","2","Endangered","Fishes"
"Phaeognathus hubrichti","Red Hills salamander","Wherever found","4","Threatened","Amphibians"
"Cicurina baronia","Robber Baron Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Notropis mekistocholas","Cape Fear shiner","Wherever found","4","Endangered","Fishes"
"Speyeria zerene behrensii","Behren's silverspot butterfly","Wherever found","8","Endangered","Insects"
"Etheostoma nuchale","Watercress darter","Wherever found","4","Endangered","Fishes"
"Gambelia silus","Blunt-nosed leopard lizard","Wherever found","8","Endangered","Reptiles"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Lanius ludovicianus mearnsi","San Clemente loggerhead shrike","Wherever found","8","Endangered","Birds"
"Megalagrion nigrohamatum nigrolineatum","Blackline Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Pyrgus ruralis lagunae","Laguna Mountains skipper","Wherever found","8","Endangered","Insects"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Tayshaneta microps","Government Canyon Bat Cave spider","Wherever found","2","Endangered","Arachnids"
"Ambystoma bishopi","Reticulated flatwoods salamander","Wherever found","4","Endangered","Amphibians"
"Gopherus flavomarginatus","Bolson tortoise","Wherever found","2","Endangered","Reptiles"
"Lampsilis virescens","Alabama lampmussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Etheostoma trisella","Trispot darter","Wherever found","4","Threatened","Fishes"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Cyprogenia sp. cf. aberti","Ouachita fanshell","","4","Threatened","Clams"
"Dipodomys nitratoides exilis","Fresno kangaroo rat","Wherever found","8","Endangered","Mammals"
"Crystallaria cincotta","Diamond Darter","Wherever found","5","Endangered","Fishes"
"Caracara plancus audubonii","Crested caracara (Audubon's) [FL DPS]","FL DPS","4","Threatened","Birds"
"Etheostoma akatulo","bluemask darter","Wherever found","4","Endangered","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Neoseps reynoldsi","Sand skink","Wherever found","4","Threatened","Reptiles"
"Etheostoma nianguae","Niangua darter","Wherever found","3","Threatened","Fishes"
"Macrhybopsis tetranema","Peppered chub","Wherever found","2","Endangered","Fishes"
"Notropis simus pecosensis","Pecos bluntnose shiner","Wherever found","2","Threatened","Fishes"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","Wherever found","8","Endangered","Mammals"
"Drosophila digressa","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Gila purpurea","Yaqui chub","Wherever found","2","Endangered","Fishes"
"Apodemia mormo langei","Lange's metalmark butterfly","Wherever found","8","Endangered","Insects"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Anaxyrus baxteri","Wyoming Toad","Wherever found","6","Endangered","Amphibians"
"Ptychocheilus lucius","Colorado pikeminnow","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Hylaeus mana","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Athearnia anthonyi","Anthony's riversnail","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Snails"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Obovaria retusa","Ring Pink","Wherever found","4","Endangered","Clams"
"Thamnophis sirtalis tetrataenia","San Francisco garter snake","Wherever found","8","Endangered","Reptiles"
"Antigone canadensis pulla","Mississippi sandhill crane","Wherever found","4","Endangered","Birds"
"Gila bicolor ssp. snyderi","Owens Tui Chub","Wherever found","8","Endangered","Fishes"
"Euphydryas editha bayensis","Bay checkerspot butterfly","Wherever found","8","Threatened","Insects"
"Gila intermedia","Gila chub","Wherever found","2","Endangered","Fishes"
"Grus americana","Whooping crane","Kissimmee Prairie NEP - USA (FL)","4","Experimental Population, Non-Essential","Birds"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Agelaius xanthomus","Yellow-shouldered blackbird","Wherever found","4","Endangered","Birds"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Lemiox rimosus","Birdwing pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Cyprinella formosa","Beautiful shiner","Wherever found","2","Threatened","Fishes"
"Tartarocreagris texana","Tooth Cave pseudoscorpion","Wherever found","2","Endangered","Arachnids"
"Fundulus julisia","Barrens topminnow","Wherever found","4","Endangered","Fishes"
"Leptoxis ampla","Round rocksnail","Wherever found","4","Threatened","Snails"
"Ameiva polops","St. Croix ground lizard","Wherever found","4","Endangered","Reptiles"
"Macrochelys suwanniensis","Suwannee alligator snapping turtle","","4","Threatened","Reptiles"
"Neotoma floridana smalli","Key Largo woodrat","Wherever found","4","Endangered","Mammals"
"Loxops caeruleirostris","Akekee","Wherever found","1","Endangered","Birds"
"Drosophila montgomeryi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Rana boylii","Foothill yellow-legged frog","Central Coast Distinct Population Segment (Central Coast DPS)","8","Threatened","Amphibians"
"Todiramphus cinnamominus","Guam kingfisher","U.S.A. (Palmyra Atoll)","1","Experimental Population, Non-Essential","Birds"
"Helminthoglypta walkeriana","Morro shoulderband (=Banded dune) snail","Wherever found","8","Threatened","Snails"
"Rana boylii","Foothill yellow-legged frog","North Feather Distinct Population Segment (North Feather DPS)","8","Threatened","Amphibians"
"Hylaeus longiceps","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Pyrgulopsis bernardina","San Bernardino springsnail","Wherever found","2","Threatened","Snails"
"Pteropus mariannus mariannus","Mariana fruit Bat (=Mariana flying fox)","Wherever found","1","Threatened","Mammals"
"Elimia crenatella","Lacy elimia (snail)","Wherever found","4","Threatened","Snails"
"Eremichthys acros","Desert dace","Wherever found","8","Threatened","Fishes"
"Manduca blackburni","Blackburn's sphinx moth","Wherever found","1","Endangered","Insects"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","3","Experimental Population, Non-Essential","Clams"
"Pseudonestor xanthophrys","Maui parrotbill (Kiwikiu)","Wherever found","1","Endangered","Birds"
"Paroreomyza maculata","O`ahu `alauahio","Wherever found","1","Endangered","Birds"
"Epioblasma brevidens","Cumberlandian combshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Potamilus inflatus","Inflated heelsplitter","Wherever found","4","Threatened","Clams"
"Stygobromus (=Stygonectes) pecki","Peck's cave amphipod","Wherever found","2","Endangered","Crustaceans"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Icaricia icarioides fenderi","Fender's blue butterfly","Wherever found","1","Threatened","Insects"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Drosophila substenoptera","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Texamaurops reddelli","Kretschmarr Cave mold beetle","Wherever found","2","Endangered","Insects"
"Salvelinus confluentus","Bull Trout","U.S.A., coterminous, lower 48 states","1","Threatened","Fishes"
"Empetrichthys latos","Pahrump poolfish","Wherever found","8","Endangered","Fishes"
"Grus americana","Whooping crane","Eastern Migratory NEP - U.S.A. (AL, AR, FL, GA, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, OH, SC, TN, VA, WI, WV)","2","Experimental Population, Non-Essential","Birds"
"Drosophila mulli","Hawaiian picture-wing fly","Wherever found","1","Threatened","Insects"
"Loxops mana","Hawaii creeper","Wherever found","1","Endangered","Birds"
"Athearnia anthonyi","Anthony's riversnail","Wherever found; Except where listed as Experimental Populations","4","Endangered","Snails"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Hemignathus wilsoni","akiapolaau","Wherever found","1","Endangered","Birds"
"Polioptila californica californica","Coastal California gnatcatcher","Wherever found","8","Threatened","Birds"
"Myadestes palmeri","Puaiohi","Wherever found","1","Endangered","Birds"
"Puma (=Felis) concolor coryi","Florida panther","Wherever found","4","Endangered","Mammals"
"Epioblasma brevidens","Cumberlandian combshell","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Fusconaia escambia","Narrow pigtoe","Wherever found","4","Threatened","Clams"
"Lepyrium showalteri","Flat pebblesnail","Wherever found","4","Endangered","Snails"
"Planorbella magnifica","Magnificent ramshorn","Wherever found","4","Endangered","Snails"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
"Strymon acis bartrami","Bartram's hairstreak Butterfly","Wherever found","4","Endangered","Insects"
"Cambarus callainus","Big Sandy crayfish","Wherever found","5","Threatened","Crustaceans"
"Cambarus zophonastes","Hell Creek Cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Neonympha mitchellii francisci","Saint Francis' satyr butterfly","Wherever found","4","Endangered","Insects"
"Quadrula cylindrica strigillata","Rough rabbitsfoot","Wherever found","5","Endangered","Clams"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Rhadine persephone","Tooth Cave ground beetle","Wherever found","2","Endangered","Insects"
"Fusconaia subrotunda","Longsolid","Wherever found","4","Threatened","Clams"
"Pterodroma hasitata","Black-capped Petrel","Wherever found","4","Endangered","Birds"
"Texella cokendolpheri","Cokendolpher Cave Harvestman","Wherever found","2","Endangered","Arachnids"
"Eurycea naufragia","Georgetown Salamander","Wherever found","2","Threatened","Amphibians"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Wherever found","1","Endangered","Birds"
"Graptemys barbouri","Barbour's map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Dipodomys merriami parvus","San Bernardino Merriam's kangaroo rat","Wherever found","8","Endangered","Mammals"
"Megalagrion xanthomelas","Orangeblack Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Nicrophorus americanus","American burying beetle","Ex Pop, SW Missouri","3","Experimental Population, Non-Essential","Insects"
"Ptychobranchus jonesi","Southern kidneyshell","Wherever found","4","Endangered","Clams"
"Epicrates monensis monensis","Mona boa","Wherever found","4","Threatened","Reptiles"
"Anaxyrus canorus","Yosemite toad","Wherever found","8","Threatened","Amphibians"
"Mustela nigripes","Black-footed ferret","[Shirley Basin/Medicine Bow Management Area NEP] - U.S.A. (parts of WY)","6","Experimental Population, Non-Essential","Mammals"
"Brachylagus idahoensis","Pygmy Rabbit","Columbia Basin DPS","1","Endangered","Mammals"
"Fusconaia iheringi","Balcones spike","","2","Endangered","Clams"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Wherever found","4","Endangered","Clams"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Chilabothrus granti","Virgin Islands tree boa","Wherever found","4","Endangered","Reptiles"
"Plethodon shenandoah","Shenandoah salamander","Wherever found","5","Endangered","Amphibians"
"Gammarus acherondytes","Illinois cave amphipod","Wherever found","3","Endangered","Crustaceans"
"Pleurobema curtum","Black clubshell","Wherever found","4","Endangered","Clams"
"Anguispira picta","Painted snake coiled forest snail","Wherever found","4","Threatened","Snails"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","Wherever found","1","Endangered","Mammals"
"Rallus obsoletus yumanensis","Yuma Ridgway''s rail","Wherever found","2","Endangered","Birds"
"Pleurobema georgianum","Southern pigtoe","Wherever found","4","Endangered","Clams"
"Ostodes strigatus","Snail [no common name]","Wherever found","1","Endangered","Snails"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Neonympha mitchellii mitchellii","Mitchell's satyr Butterfly","Wherever found","3","Endangered","Insects"
"Hypomesus transpacificus","Delta smelt","Wherever found","8","Threatened","Fishes"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Gila robusta jordani","Pahranagat roundtail chub","Wherever found","8","Endangered","Fishes"
"Scaphirhynchus platorynchus","Shovelnose Sturgeon","Wherever found","6","Similarity of Appearance (Threatened)","Fishes"
"Brachyramphus marmoratus","Marbled Murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Hesperia leonardus montana","Pawnee montane skipper","Wherever found","6","Threatened","Insects"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Lepidurus packardi","Vernal pool tadpole shrimp","Wherever found","8","Endangered","Crustaceans"
"Epioblasma capsaeformis","Oyster mussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Corvus hawaiiensis","Hawaiian crow","Wherever found","1","Endangered","Birds"
"Streptocephalus woottoni","Riverside fairy shrimp","Wherever found","8","Endangered","Crustaceans"
"Perognathus longimembris pacificus","Pacific pocket mouse","Wherever found","8","Endangered","Mammals"
"Sternula antillarum browni","California least tern","Wherever found","8","Endangered","Birds"
"Psittirostra psittacea","`O`u (honeycreeper)","Wherever found","1","Endangered","Birds"
"Pyrgulopsis bruneauensis","Bruneau Hot springsnail","Wherever found","1","Endangered","Snails"
"Etheostoma moorei","Yellowcheek Darter","Wherever found","4","Endangered","Fishes"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Zapus hudsonius preblei","Preble's meadow jumping mouse","wherever found","6","Threatened","Mammals"
"Euphilotes enoptes smithi","Smith's blue butterfly","Wherever found","8","Endangered","Insects"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Menidia extensa","Waccamaw silverside","Wherever found","4","Threatened","Fishes"
"Rhinichthys osculus oligoporus","Clover Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Novisuccinea chittenangoensis","Chittenango ovate amber snail","Wherever found","5","Threatened","Snails"
"Dromus dromas","Dromedary pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Pleurobema clava","Clubshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Epioblasma curtisii","Curtis Pearlymussel","Wherever found","3","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Plethodon nettingi","Cheat Mountain salamander","Wherever found","5","Threatened","Amphibians"
"Peromyscus polionotus phasma","Anastasia Island beach mouse","Wherever found","4","Endangered","Mammals"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Cyclonaias necki","Guadalupe Orb","","2","Endangered","Clams"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Zosterops rotensis","Rota bridled white-eye","Wherever found","1","Endangered","Birds"
"Pekania pennanti","Fisher","SSN DPS","8","Endangered","Mammals"
"Lagopus leucura rainierensis","Mt. Rainier white-tailed ptarmigan","Wherever found","1","Threatened","Birds"
"Amblema neislerii","Fat threeridge (mussel)","Wherever found","4","Endangered","Clams"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Wherever found","1","Endangered","Birds"
"Ambystoma californiense","California tiger Salamander","U.S.A. (CA - Sonoma County)","8","Endangered","Amphibians"
"Graptemys pearlensis","Pearl River Map Turtle","","4","Threatened","Reptiles"
"Glyptemys muhlenbergii","bog turtle","U.S.A. (GA, NC, SC, TN, VA)","4","Similarity of Appearance (Threatened)","Reptiles"
"Noturus munitus","Frecklebelly madtom","Upper Coosa River DPS","4","Threatened","Fishes"
"Ursus arctos horribilis","Grizzly bear","North Cascades Ecosystem Non-Essential Experimental Population","1","Experimental Population, Non-Essential","Mammals"
"Telespiza ultima","Nihoa finch","Wherever found","1","Endangered","Birds"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Rana boylii","Foothill yellow-legged frog","South Sierra Distinct Population Segment (South Sierra DPS)","8","Endangered","Amphibians"
"Chelonia mydas","Green sea turtle","Central North Pacific DPS","1","Threatened","Reptiles"
"Rhinichthys osculus nevadensis","Ash Meadows speckled dace","Wherever found","8","Endangered","Fishes"
"Necturus lewisi","Neuse River waterdog","Wherever found","4","Threatened","Amphibians"
"Gallinula chloropus guami","Mariana common moorhen (pulattat)","Wherever found","1","Endangered","Birds"
"Canis rufus","Red wolf","Wherever found, except where listed as an experimental population","4","Endangered","Mammals"
"Cyclargus thomasi bethunebakeri","Miami Blue Butterfly","Wherever found","4","Endangered","Insects"
"Pleurobema taitianum","Heavy pigtoe","Wherever found","4","Endangered","Clams"
